station,normals_id,kind,month,amp_image,amp_normals,phase_image_day,phase_normals_day,phase_diff_days,range_image,range_normals,n_days,error
74693093737,USW00093737,annual,0,8.69170939270236,10.352833853349232,196.79690304547182,197.96135884905812,-1.1644558035862929,,,365,
74693093737,USW00093737,diurnal,1,4.644665518796917,,,,,10.799545913337374,8.406810035842295,31,
74693093737,USW00093737,diurnal,2,5.197161574012209,,,,,11.492916042483984,9.357142857142858,29,
74693093737,USW00093737,diurnal,3,5.404249189991829,,,,,11.735183355115268,10.344086021505374,30,
74693093737,USW00093737,diurnal,4,5.188457936833975,,,,,12.082447170695001,10.662962962962963,30,
74693093737,USW00093737,diurnal,5,4.609131332285077,,,,,10.054017158883163,10.04301075268817,31,
74693093737,USW00093737,diurnal,6,5.428543949089757,,,,,11.090432623932147,9.14074074074074,30,
74693093737,USW00093737,diurnal,7,3.811402372982666,,,,,9.12194743229617,8.609318996415771,31,
74693093737,USW00093737,diurnal,8,3.9099286694147564,,,,,10.358253115692122,8.464157706093191,31,
74693093737,USW00093737,diurnal,9,3.520684769638324,,,,,7.791523781642336,8.831481481481482,30,
74693093737,USW00093737,diurnal,10,5.733146778972369,,,,,11.811944559837045,9.82258064516129,31,
74693093737,USW00093737,diurnal,11,4.639658954992932,,,,,10.58158979419155,9.949999999999998,30,
74693093737,USW00093737,diurnal,12,3.7545627327335787,,,,,10.485274216731995,8.370967741935484,31,
74718503144,USW00003144,annual,0,11.811389855380042,10.871531531252527,201.4095991644476,204.51206202916316,-3.1024628647155623,,,365,
74718503144,USW00003144,diurnal,1,6.823926003542978,,,,,14.709522895935331,13.89426523297491,31,
74718503144,USW00003144,diurnal,2,5.162373109745831,,,,,12.806569154644109,13.60515873015873,29,
74718503144,USW00003144,diurnal,3,5.512657430649757,,,,,12.54563164048281,14.449820788530467,31,
74718503144,USW00003144,diurnal,4,7.700722206290829,,,,,16.52507279355512,14.972222222222221,30,
74718503144,USW00003144,diurnal,5,7.401266551375574,,,,,16.156662704503827,15.761648745519718,31,
74718503144,USW00003144,diurnal,6,7.640777182166664,,,,,16.312432114855838,16.642592592592592,30,
74718503144,USW00003144,diurnal,7,6.786166693073526,,,,,14.968983090002993,14.587813620071683,29,
74718503144,USW00003144,diurnal,8,6.28245469764685,,,,,14.23101921577737,13.716845878136201,6,
74718503144,USW00003144,diurnal,10,7.641038469122881,,,,,17.02158537986161,15.238351254480285,21,
74718503144,USW00003144,diurnal,11,6.555350924615714,,,,,14.78841807464962,14.340740740740737,30,
74718503144,USW00003144,diurnal,12,7.835978438682946,,,,,17.110749221596294,13.10035842293907,31,
74718703104,USW00003104,annual,0,11.801926739869929,11.113490762308174,197.5113152059095,200.7398472645722,-3.2285320586626938,,,365,
74718703104,USW00003104,diurnal,1,6.561970362176951,,,,,16.05403850345472,15.200716845878135,25,
74718703104,USW00003104,diurnal,2,6.318901412413084,,,,,14.293472790716756,15.093253968253965,27,
74718703104,USW00003104,diurnal,3,5.014306163351485,,,,,11.921812455746437,15.543010752688172,29,
74718703104,USW00003104,diurnal,4,7.105427030301485,,,,,18.005748093882815,15.551851851851852,24,
74718703104,USW00003104,diurnal,5,7.2833628922308025,,,,,15.66879661868947,15.77060931899642,31,
74718703104,USW00003104,diurnal,6,7.773413858155626,,,,,18.062905135702795,17.325925925925922,30,
74718703104,USW00003104,diurnal,7,7.15480841942295,,,,,16.842486686438768,15.5573476702509,31,
74718703104,USW00003104,diurnal,8,6.949059226079556,,,,,16.615465240977887,15.182795698924732,31,
74718703104,USW00003104,diurnal,9,6.671859919274371,,,,,17.04800194881138,16.54444444444444,25,
74718703104,USW00003104,diurnal,10,9.15174439486616,,,,,20.453005224252564,17.148745519713263,30,
74718703104,USW00003104,diurnal,11,8.669246041751085,,,,,18.880627232672396,16.575925925925926,30,
74718703104,USW00003104,diurnal,12,9.255801240955808,,,,,20.38919545504287,15.127240143369175,28,
74718823158,USW00023158,annual,0,13.061132294011708,11.853061098844345,200.52197334670237,202.37343308710717,-1.851459740404806,,,365,
74718823158,USW00023158,diurnal,1,5.584436939264374,,,,,12.659279408441774,12.353046594982075,31,
74718823158,USW00023158,diurnal,2,5.435684496334736,,,,,12.181581506032117,12.71825396825397,29,
74718823158,USW00023158,diurnal,3,5.948961916007227,,,,,13.792675233117448,13.888888888888888,31,
74718823158,USW00023158,diurnal,4,7.749830750444358,,,,,16.976610628307526,14.788888888888888,26,
74718823158,USW00023158,diurnal,5,7.499169681465743,,,,,16.575311426551124,15.36559139784946,31,
74718823158,USW00023158,diurnal,6,7.321847448240138,,,,,15.800198964906787,16.053703703703704,30,
74718823158,USW00023158,diurnal,7,6.395631733019912,,,,,14.196303798132433,13.584229390681003,31,
74718823158,USW00023158,diurnal,8,6.156084472659992,,,,,13.767882343194163,12.883512544802871,31,
74718823158,USW00023158,diurnal,9,7.571055430233082,,,,,16.351666696868392,13.82222222222222,30,
74718823158,USW00023158,diurnal,10,8.656443950802359,,,,,18.73784771164642,14.519713261648745,31,
74718823158,USW00023158,diurnal,11,6.450865082531694,,,,,14.984791464158794,13.431481481481484,30,
74718823158,USW00023158,diurnal,12,7.011937381003448,,,,,16.483775584520263,11.740143369175625,31,
74740013973,USW00013973,annual,0,9.27543082640094,10.172886545685685,178.28999213763947,196.3055422462035,-18.015550108564014,,,365,
74740013973,USW00013973,diurnal,1,4.886186771877611,,,,,15.771708160083298,12.301075268817204,31,
74740013973,USW00013973,diurnal,2,6.328867958308542,,,,,15.30641201230915,12.474206349206346,28,
74740013973,USW00013973,diurnal,3,5.374644841501911,,,,,12.902109888269392,12.241935483870968,31,
74740013973,USW00013973,diurnal,4,6.416718608220055,,,,,14.947136517857562,12.449999999999998,30,
74740013973,USW00013973,diurnal,5,5.144884292995034,,,,,12.47165380531729,11.4247311827957,30,
74740013973,USW00013973,diurnal,6,4.994693542249474,,,,,11.463470717430083,11.355555555555558,30,
74740013973,USW00013973,diurnal,7,5.497274398533728,,,,,12.157401158425447,11.621863799283156,31,
74740013973,USW00013973,diurnal,8,5.740095502733992,,,,,12.986161516688128,12.014336917562726,31,
