station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
AB07,east,tracking,7944,21.8289,14.7739,1859.76,1,37,0,13,0,0.0,,1,0.0458,0.2251,0.0355,-0.012377005776460587,0.7192579446658238
AB07,north,detection,7944,21.8289,4.1118,517.6,2,37,2,31,2,0.0645,9.99,0,0.0,0.2251,0.071,-0.031618605512815014,0.14397059596852124
AB07,north,tracking,7944,21.8289,15.5743,1960.51,1,37,0,13,0,0.0,,1,0.0458,0.2251,0.0355,-0.02662186620557953,0.030480387362565368
AB07,up,detection,7944,21.8289,3.8882,489.45,2,37,1,32,1,0.0312,14.0,1,0.0458,0.2251,0.071,0.005632344455863113,0.3777279057014243
AB07,up,tracking,7944,21.8289,15.9306,2005.36,1,37,0,13,0,0.0,,1,0.0458,0.2251,0.0355,0.002575915732970135,0.44140750599401046
AB08,east,detection,5770,17.1937,2.37,410.75,4,9,0,7,0,0.0,,4,0.2326,0.167,0.1938,0.015639610535845908,-0.5253745754817283
AB08,east,tracking,5770,17.1937,11.4334,1981.53,0,9,0,1,0,0.0,,0,0.0,0.167,0.0,-0.0006246413293570527,-0.24667196903994099
AB08,north,detection,5770,17.1937,3.5662,618.06,2,9,0,8,0,0.0,,2,0.1163,0.167,0.0969,-0.03001250818921152,0.1511533735535025
AB08,north,tracking,5770,17.1937,11.1138,1926.13,0,9,0,1,0,0.0,,0,0.0,0.167,0.0,-0.02613864297619718,0.07888244194474976
AB08,up,detection,5770,17.1937,2.7479,476.24,0,9,0,8,0,0.0,,0,0.0,0.167,0.0,-0.0017782891059264824,0.5359154475805888
AB08,up,tracking,5770,17.1937,11.007,1907.63,0,9,0,1,0,0.0,,0,0.0,0.167,0.0,-0.0025588014414817542,0.5477361201902352
AB09,east,detection,6648,19.0828,3.9746,597.86,2,7,0,4,0,0.0,,2,0.1048,0.0871,0.0957,-0.008196226865222245,0.7152475589694265
AB09,east,tracking,6648,19.0828,13.0136,1957.52,0,7,0,3,0,0.0,,0,0.0,0.0871,0.0,0.001478500282044653,0.534916617853267
AB09,north,detection,6648,19.0828,3.2412,487.55,3,7,0,4,0,0.0,,3,0.1572,0.0871,0.1435,-0.029097402064367693,0.9469657000930275
AB09,north,tracking,6648,19.0828,14.2461,2142.91,0,7,0,3,0,0.0,,0,0.0,0.0871,0.0,-0.02322114736557598,0.8335699851256542
AB09,up,detection,6648,19.0828,3.9002,586.67,0,7,0,7,0,0.0,,0,0.0,0.0871,0.0,-0.045556626146095784,0.9517831081387327
