sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw
0ALM,up,trend_quad_annual_semi,7,-89860.14773230343,-89860.14773221314,0.33227894982665307,0.332278949830052,1,1
0ALN,east,trend,2,-14434.074141033718,-14434.074141341227,0.006854773596155105,0.006854773594394113,3,3
0ALN,east,trend_annual,4,-15805.419997574716,-15805.419998553154,0.0021542673993512544,0.0021542673975903388,1,1
0ALN,east,trend_annual_semi,6,-15798.4720319331,-15798.472032917507,0.002141299667652579,0.0021412996658915838,2,2
0ALN,east,trend_quad_annual_semi,7,-15817.97715273497,-15817.977153741514,0.0020942528333466035,0.0020942528315855686,0,0
0ALN,north,trend,2,-14425.22631764719,-14425.22631763409,0.006905629511817826,0.006905629511893394,3,3
0ALN,north,trend_annual,4,-14786.110213412567,-14786.110213394662,0.005048062045440959,0.005048062045516477,2,2
0ALN,north,trend_annual_semi,6,-14938.819582485798,-14938.81958246505,0.004391124911803889,0.00439112491188,0,0
0ALN,north,trend_quad_annual_semi,7,-14931.807348066544,-14931.807348045788,0.004390848542709411,0.004390848542785546,1,1
0ALN,up,trend,2,-11525.482123826512,-11525.4821238333,0.07785489078659796,0.07785489078615647,3,3
0ALN,up,trend_annual,4,-12399.385310972297,-12399.385310986561,0.03707439762860678,0.03707439762816492,2,2
0ALN,up,trend_annual_semi,6,-12432.83250450593,-12432.83250452037,0.0356283580262433,0.03562835802581352,1,1
0ALN,up,trend_quad_annual_semi,7,-12433.022746463272,-12433.022746477798,0.035412393156176794,0.03541239315574707,0,0
0ALS,east,trend,2,-35085.903490001736,-35085.90349009178,0.011781351669200607,0.011781351668826148,3,3
0ALS,east,trend_annual,4,-38191.96298482371,-38191.96298509473,0.00391384729031847,0.003913847289944043,2,2
0ALS,east,trend_annual_semi,6,-38228.61546158797,-38228.615461863235,0.0038419166818458306,0.0038419166814725406,1,1
0ALS,east,trend_quad_annual_semi,7,-38325.404578322654,-38325.404578608235,0.00370247161997058,0.00370247161959735,0,0
0ALS,north,trend,2,-37463.26629862329,-37463.26629864708,0.005090367162990877,0.005090367162948118,3,3
0ALS,north,trend_annual,4,-37501.645420106746,-37501.64542013098,0.0049937693853622225,0.004993769385319494,2,2
0ALS,north,trend_annual_semi,6,-37724.225757799046,-37724.22575782705,0.004590606816690921,0.0045906068166455295,1,1
0ALS,north,trend_quad_annual_semi,7,-37781.734136041254,-37781.734136069994,0.004485755199611503,0.004485755199565995,0,0
0ALS,up,trend,2,-27758.879484863286,-27758.87948486219,0.1564647365211207,0.15646473652118126,3,3
0ALS,up,trend_annual,4,-29004.233850961416,-29004.233850959707,0.10024631664659206,0.10024631664665268,2,2
0ALS,up,trend_annual_semi,6,-29065.31414760918,-29065.31414760762,0.09755909060846113,0.09755909060851477,0,0
0ALS,up,trend_quad_annual_semi,7,-29057.844809990063,-29057.844809988506,0.09754257088043282,0.09754257088048635,1,1
0ALV,east,trend,2,-76081.50773492057,-76081.50773481453,0.07923653893388583,0.07923653893513864,3,3
0ALV,east,trend_annual,4,-83884.61768754086,-83884.61768720046,0.02468960762447272,0.024689607625725776,2,2
0ALV,east,trend_annual_semi,6,-84221.80119107584,-84221.80119071703,0.023417454498243596,0.02341745449949635,1,1
0ALV,east,trend_quad_annual_semi,7,-85804.87645359957,-85804.87645314394,0.01846975790779706,0.01846975790905176,0,0
0ALV,north,trend,2,-80207.50698609506,-80207.50698577787,0.04283088618621528,0.04283088618824072,3,3
0ALV,north,trend_annual,4,-80598.42476424942,-80598.42476391223,0.04029982246044442,0.0402998224624704,2,2
0ALV,north,trend_annual_semi,6,-80741.0470523848,-80741.04705203952,0.039348387482383534,0.03934838748440926,1,1
0ALV,north,trend_quad_annual_semi,7,-81490.18108383084,-81490.18108344387,0.03514375562304275,0.035143755625070466,0,0
0ALV,up,trend,2,-63530.13755299158,-63530.13755287924,0.5148219942980206,0.5148219943066434,3,3
0ALV,up,trend_annual,4,-67420.82705672269,-67420.8270565215,0.28746466966732626,0.2874646696759489,1,1
0ALV,up,trend_annual_semi,6,-67416.4883362274,-67416.4883360258,0.286895914419703,0.2868959144283265,2,2
0ALV,up,trend_quad_annual_semi,7,-67656.22687045044,-67656.22687024117,0.2764586518246067,0.27645865183323265,0,0
0AMB,east,trend,2,-48179.37497480928,-48179.37497480938,0.031192902818739272,0.03119290281873848,3,3
0AMB,east,trend_annual,4,-51980.55552781336,-51980.55552781362,0.012264880646094437,0.012264880646093646,2,2
0AMB,east,trend_annual_semi,6,-52149.71533577778,-52149.71533577807,0.011720200947159719,0.011720200947158886,0,0
0AMB,east,trend_quad_annual_semi,7,-52147.082984381384,-52147.08298438167,0.01170392447901642,0.011703924479015606,1,1
0AMB,north,trend,2,-46459.980103162314,-46459.980103241876,0.04749291487311078,0.04749291487218697,3,3
0AMB,north,trend_annual,4,-51660.27695994111,-51660.276960225725,0.013263921295851622,0.013263921294928612,2,2
0AMB,north,trend_annual_semi,6,-52149.06526920162,-52149.06526952386,0.011722063909607219,0.011722063908683687,1,1
0AMB,north,trend_quad_annual_semi,7,-52261.175187094974,-52261.17518742702,0.01138195045256263,0.011381950451638586,0,0
0AMB,up,trend,2,-39602.08326408463,-39602.08326408474,0.2539983911050759,0.25399839110506905,3,3
0AMB,up,trend_annual,4,-41598.135180561585,-41598.13518056177,0.1552798586952426,0.1552798586952358,2,2
0AMB,up,trend_annual_semi,6,-41652.98521414109,-41652.98521414126,0.15258954624563595,0.15258954624562932,1,1
0AMB,up,trend_quad_annual_semi,7,-41667.72961352104,-41667.72961352122,0.15173161954596473,0.1517316195459581,0,0
0AME,east,trend,2,-75085.73999431517,-75085.73999598154,0.03252728371762981,0.03252728370885778,3,3
0AME,east,trend_annual,4,-82849.81398639777,-82849.81399226941,0.009232481968164596,0.009232481959391373,2,2
