sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw,error
0AMS,north,trend_quad_annual_semi,7,-48962.12469555177,,0.0068826445761167865,,0,,
0AMS,up,trend,2,-35784.7136399259,,0.24179891690186678,,3,,
0AMS,up,trend_annual,4,-37378.70740685233,,0.15672534133556004,,2,,
0AMS,up,trend_annual_semi,6,-37441.87806481998,,0.15340164927917915,,1,,
0AMS,up,trend_quad_annual_semi,7,-37470.90829450453,,0.1518707753803113,,0,,
0ANA,east,trend,2,-82160.00566174327,,0.042145231839551635,,3,,
0ANA,east,trend_annual,4,-87777.6303865941,,0.01851037885106789,,2,,
0ANA,east,trend_annual_semi,6,-87893.15122618865,,0.018153906181054284,,1,,
0ANA,east,trend_quad_annual_semi,7,-90162.26170712861,,0.013017451408977162,,0,,
0ANA,north,trend,2,-86284.30638806627,,0.023079527018816874,,3,,
0ANA,north,trend_annual,4,-86554.32683934532,,0.022130176457988218,,2,,
0ANA,north,trend_annual_semi,6,-87340.5366888645,,0.019679376084956773,,1,,
0ANA,north,trend_quad_annual_semi,7,-87527.21815397537,,0.01912554602876666,,0,,
0ANA,up,trend,2,-65438.07501628464,,0.4842666759367894,,3,,
0ANA,up,trend_annual,4,-68773.3389688687,,0.29680809329305924,,2,,
0ANA,up,trend_annual_semi,6,-68821.75650844244,,0.29395816823847704,,0,,
0ANA,up,trend_quad_annual_semi,7,-68818.12470680902,,0.29373506721893144,,1,,
0ANG,east,trend,2,-80857.49538265928,,0.032486816603251006,,3,,
0ANG,east,trend_annual,4,-85470.1515497803,,0.016134790732931895,,2,,
0ANG,east,trend_annual_semi,6,-85980.06334334903,,0.014898282685066822,,0,,
0ANG,east,trend_quad_annual_semi,7,-85972.93828901401,,0.01489451762467222,,1,,
0ANG,north,trend,2,-82113.63815232659,,0.0268689133094734,,3,,
0ANG,north,trend_annual,4,-82209.73224373056,,0.02641114537032438,,2,,
0ANG,north,trend_annual_semi,6,-82366.44746307866,,0.025724385715709133,,1,,
0ANG,north,trend_quad_annual_semi,7,-84194.46047898305,,0.01948817484723385,,0,,
0ANG,up,trend,2,-63046.15588715314,,0.47962076305305945,,3,,
0ANG,up,trend_annual,4,-66106.44747705803,,0.30120079673910116,,2,,
0ANG,up,trend_annual_semi,6,-66152.32192788864,,0.29832511774459247,,1,,
0ANG,up,trend_quad_annual_semi,7,-66152.86425996092,,0.29790427960810933,,0,,
0ANS,east,trend,2,-48452.79007952938,,0.029917054222917867,,3,,
0ANS,east,trend_annual,4,-53971.27157481168,,0.007750373530347824,,2,,
0ANS,east,trend_annual_semi,6,-54095.73850178739,,0.00748805265698875,,1,,
0ANS,east,trend_quad_annual_semi,7,-54143.78326438029,,0.007385768588733549,,0,,
0ANS,north,trend,2,-52636.68779138725,,0.01077757737467058,,3,,
0ANS,north,trend_annual,4,-53616.72507497478,,0.008450773698419392,,2,,
0ANS,north,trend_annual_semi,6,-53753.89320188851,,0.008139480564452307,,1,,
0ANS,north,trend_quad_annual_semi,7,-53754.65651952493,,0.008121462645278993,,0,,
0ANS,up,trend,2,-39803.53276837419,,0.24691229936099007,,3,,
0ANS,up,trend_annual,4,-41554.272379115806,,0.16041360077334554,,2,,
0ANS,up,trend_annual_semi,6,-41635.802932431776,,0.1566165738521821,,0,,
0ANS,up,trend_quad_annual_semi,7,-41632.89001916623,,0.15641012975145396,,1,,
0ARA,east,trend,2,-42336.67496615734,,0.01614336846923617,,3,,
0ARA,east,trend_annual,4,-45704.99187746071,,0.006054170169168229,,2,,
0ARA,east,trend_annual_semi,6,-45774.03342217417,,0.005906301798017103,,1,,
0ARA,east,trend_quad_annual_semi,7,-45796.92520432238,,0.005853418848403297,,0,,
0ARA,north,trend,2,-45950.60400759135,,0.005664945193221511,,2,,
0ARA,north,trend_annual,4,-45947.541991561,,0.005643267885473021,,3,,
0ARA,north,trend_annual_semi,6,-46112.12148494413,,0.005355112643536698,,1,,
0ARA,north,trend_quad_annual_semi,7,-46162.693875894955,,0.0052647661348474584,,0,,
0ARA,up,trend,2,-33877.65130486746,,0.18729591016667313,,3,,
0ARA,up,trend_annual,4,-35645.98099730493,,0.11167108100250234,,2,,
0ARA,up,trend_annual_semi,6,-35775.04398136925,,0.10706518556832582,,0,,
0ARA,up,trend_quad_annual_semi,7,-35767.85395820043,,0.10703551806785122,,1,,
0ARB,east,trend,2,-64105.796194267146,,0.0468852866966494,,3,,
0ARB,east,trend_annual,4,-70058.92418923901,,0.015815652022077298,,2,,
0ARB,east,trend_annual_semi,6,-70169.49623009597,,0.015452012884403765,,1,,
0ARB,east,trend_quad_annual_semi,7,-71408.63285257094,,0.012312662965314618,,0,,
0ARB,north,trend,2,-72257.95039017336,,0.010632074556616154,,3,,
0ARB,north,trend_annual,4,-72383.92289842576,,0.01035854088353891,,2,,
0ARB,north,trend_annual_semi,6,-72712.25791720054,,0.009727083144595488,,1,,
0ARB,north,trend_quad_annual_semi,7,-72771.90565623577,,0.00960697851625054,,0,,
0ARB,up,trend,2,-53932.134807455695,,0.29871222316785856,,3,,
0ARB,up,trend_annual,4,-55901.9283862915,,0.20805664756222172,,2,,
0ARB,up,trend_annual_semi,6,-56012.57232380307,,0.20327027448706436,,1,,
0ARB,up,trend_quad_annual_semi,7,-56577.732154945734,,0.1831124638414595,,0,,
0ARD,east,trend,2,-61650.470167388754,,0.03669150697886253,,3,,
0ARD,east,trend_annual,4,-69829.68754446984,,0.00758387938293497,,2,,
0ARD,east,trend_annual_semi,6,-69950.7241092238,,0.007385012685553898,,1,,
0ARD,east,trend_quad_annual_semi,7,-70146.57189764867,,0.007100296966866282,,0,,
0ARD,north,trend,2,-69268.97460921107,,0.008475388552763335,,3,,
0ARD,north,trend_annual,4,-69292.04397365733,,0.008410136816440534,,2,,
0ARD,north,trend_annual_semi,6,-69774.90116871473,,0.007639034655861344,,1,,
0ARD,north,trend_quad_annual_semi,7,-69857.14014940064,,0.007506784915390445,,0,,
0ARD,up,trend,2,-52082.009189815624,,0.23113174938796827,,3,,
0ARD,up,trend_annual,4,-54227.386955029746,,0.15248167133634116,,2,,
0ARD,up,trend_annual_semi,6,-54350.58259588728,,0.14842160213850555,,0,,
0ARD,up,trend_quad_annual_semi,7,-54343.8968087495,,0.14836821438235515,,1,,
0ARH,east,trend,2,-18647.00582097931,,0.010370616882725132,,3,,
0ARH,east,trend_annual,4,-20718.582997312133,,0.0027343256459469007,,1,,
0ARH,east,trend_annual_semi,6,-20709.98470896476,,0.0027236660206699467,,2,,
0ARH,east,trend_quad_annual_semi,7,-20962.526387220467,,0.0023069128447866264,,0,,
0ARH,north,trend,2,-20558.79636421347,,0.0030568504044140516,,3,,
0ARH,north,trend_annual,4,-21100.76014636392,,0.002141876233978742,,2,,
0ARH,north,trend_annual_semi,6,-21133.432543381976,,0.002077998308020549,,0,,
0ARH,north,trend_quad_annual_semi,7,-21126.12256501137,,0.0020779376781826383,,1,,
0ARH,up,trend,2,-15109.871774865505,,0.09939741009582342,,3,,
0ARH,up,trend_annual,4,-15985.910540881901,,0.05625847509341585,,2,,
0ARH,up,trend_annual_semi,6,-16045.738776922622,,0.053641746252204775,,0,,
0ARH,up,trend_quad_annual_semi,7,-16042.547799064194,,0.05349918853661988,,1,,
0ARJ,east,trend,2,-128455.833272873,,0.13566315479191915,,3,,
0ARJ,east,trend_annual,4,-133544.5440974049,,0.08645548363982912,,2,,
0ARJ,east,trend_annual_semi,6,-133585.78749352085,,0.08599974048020981,,1,,
0ARJ,east,trend_quad_annual_semi,7,-137148.38809250755,,0.06275558422259658,,0,,
0ARJ,north,trend,2,-141067.18428729783,,0.04459717473055061,,3,,
0ARJ,north,trend_annual,4,-141761.8979779893,,0.041877117972396516,,2,,
0ARJ,north,trend_annual_semi,6,-142427.3617498076,,0.039424556852707446,,1,,
0ARJ,north,trend_quad_annual_semi,7,-142492.24469661908,,0.03916728082699693,,0,,
0ARJ,up,trend,2,-94532.44469442072,,2.7046047246829334,,3,,
0ARJ,up,trend_annual,4,-95526.64067028504,,2.4734307134475837,,2,,
0ARJ,up,trend_annual_semi,6,-95536.68213316223,,2.4671736913864093,,1,,
0ARJ,up,trend_quad_annual_semi,7,-98276.26964557229,,1.935911445894685,,0,,
0ART,east,trend,2,-81823.72841628881,,0.049721121823035334,,3,,
0ART,east,trend_annual,4,-87717.52837425936,,0.0211376749130883,,2,,
0ART,east,trend_annual_semi,6,-87850.09369669721,,0.020683095231460544,,1,,
0ART,east,trend_quad_annual_semi,7,-89735.96700580583,,0.015723517456301427,,0,,
0ART,north,trend,2,-86744.32512936447,,0.024396384256453792,,3,,
0ART,north,trend_annual,4,-87667.84643037996,,0.02129017738007816,,2,,
0ART,north,trend_annual_semi,6,-87922.0769576123,,0.02046878329190545,,1,,
0ART,north,trend_quad_annual_semi,7,-88225.02818392076,,0.019565848481387167,,0,,
0ART,up,trend,2,-66160.7496357067,,0.47953346254648077,,3,,
0ART,up,trend_annual,4,-69463.67780278828,,0.2965844056348864,,2,,
0ART,up,trend_annual_semi,6,-69574.33523435763,,0.29112757588074745,,1,,
0ART,up,trend_quad_annual_semi,7,-69575.19284952567,,0.29071931135599655,,0,,
0ARV,east,trend,2,-81888.79168067692,,0.05111628562393237,,3,,
0ARV,east,trend_annual,4,-88989.71828777151,,0.018302438605379667,,2,,
0ARV,east,trend_annual_semi,6,-89002.85641880543,,0.018221219183326434,,1,,
0ARV,east,trend_quad_annual_semi,7,-89868.84589866216,,0.01606055803994272,,0,,
0ARV,north,trend,2,-88348.43087931204,,0.02012797755966626,,3,,
0ARV,north,trend_annual,4,-88593.98734293431,,0.0193778391563688,,2,,
0ARV,north,trend_annual_semi,6,-89066.56097284715,,0.01805451070500816,,1,,
0ARV,north,trend_quad_annual_semi,7,-89230.13879457058,,0.01761091155782126,,0,,
0ARV,up,trend,2,-66390.1351433522,,0.4783003333247911,,3,,
0ARV,up,trend_annual,4,-69156.45528977572,,0.3200778032781494,,2,,
0ARV,up,trend_annual_semi,6,-69571.99202430854,,0.3006836750643093,,1,,
0ARV,up,trend_quad_annual_semi,7,-69648.68392575954,,0.2969957328988705,,0,,
0ASD,east,trend,2,-52601.74779910917,,0.08923618803514108,,3,,
0ASD,east,trend_annual,4,-58101.921752385686,,0.028461400621248144,,2,,
0ASD,east,trend_annual_semi,6,-58310.76863187164,,0.02716087790502761,,1,,
0ASD,east,trend_quad_annual_semi,7,-58380.21076272942,,0.026726017872669237,,0,,
