station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
AB14,up,detection,6920,19.1294,0.8253,119.26,8,13,0,13,0,0.0,,8,0.4182,0.1798,0.343,-0.01116895195130355,0.870405728568415
AB14,up,tracking,6920,19.1294,2.737,395.53,0,13,0,6,0,0.0,,0,0.0,0.1798,0.0,-0.0034320386186734745,0.7201090204843426
AB15,east,detection,5989,20.0301,0.9035,150.87,9,12,1,6,1,0.1667,3.99,6,0.2995,0.1486,0.3826,0.002365721986466606,0.23182573232052356
AB15,east,tracking,5989,20.0301,2.4263,405.12,1,12,0,0,0,,,1,0.0499,0.1486,0.0425,-0.0030679192908529846,0.3432584866762188
AB15,north,detection,5989,20.0301,1.0154,169.54,7,12,1,6,1,0.1667,3.99,4,0.1997,0.1486,0.2975,-0.027006227442445584,0.25596364635928964
AB15,north,tracking,5989,20.0301,2.6543,443.19,1,12,0,0,0,,,1,0.0499,0.1486,0.0425,-0.023087480339335536,0.1764437299314917
AB15,up,detection,5989,20.0301,0.7726,129.01,2,12,0,12,0,0.0,,2,0.0998,0.1486,0.085,0.008074066848883841,0.17664289085050672
AB15,up,tracking,5989,20.0301,2.3756,396.66,0,12,0,4,0,0.0,,0,0.0,0.1486,0.0,0.0011114393502361323,0.31365085284926364
AB17,east,detection,6194,17.6865,0.7411,119.65,2,8,0,8,0,0.0,,2,0.1131,0.1161,0.1,0.018207247636462393,0.47210079557179135
AB17,east,tracking,6194,17.6865,2.6416,426.48,0,8,0,3,0,0.0,,0,0.0,0.1161,0.0,-0.00647976742136813,0.9089124011657888
AB17,north,detection,6194,17.6865,0.7111,114.8,4,8,0,8,0,0.0,,4,0.2262,0.1161,0.1999,-0.0441912784856337,1.192517647328995
AB17,north,tracking,6194,17.6865,2.771,447.37,0,8,0,3,0,0.0,,0,0.0,0.1161,0.0,-0.023564398733270025,0.8285153322988348
AB17,up,detection,6194,17.6865,0.7231,116.74,2,8,0,8,0,0.0,,2,0.1131,0.1161,0.1,-0.016639260213282665,0.7306388670052312
AB17,up,tracking,6194,17.6865,2.4748,399.55,0,8,0,3,0,0.0,,0,0.0,0.1161,0.0,-0.00173331760579255,0.46697824419775574
AB18,east,detection,6239,19.4579,0.7225,115.81,6,13,0,13,0,0.0,,6,0.3084,0.1206,0.2712,0.02438123354685331,-1.176548463360982
AB18,east,tracking,6239,19.4579,2.3728,380.32,1,13,0,1,0,0.0,,1,0.0514,0.1206,0.0452,-0.005346461352273024,-0.6053880848719846
AB18,north,detection,6239,19.4579,0.725,116.2,7,13,0,10,0,0.0,,7,0.3598,0.1206,0.3164,-0.036329294317918356,0.6638680585898227
AB18,north,tracking,6239,19.4579,2.6976,432.37,0,13,0,1,0,0.0,,0,0.0,0.1206,0.0,-0.024522645164548246,0.43225104011192733
AB18,up,detection,6239,19.4579,0.7496,120.15,2,13,0,13,0,0.0,,2,0.1028,0.1206,0.0904,-0.03686287481050522,0.8219494998391519
AB18,up,tracking,6239,19.4579,2.6067,417.8,0,13,0,1,0,0.0,,0,0.0,0.1206,0.0,-0.003498512694601828,0.16976814955652927
AB21,east,detection,6245,20.3231,0.8566,137.17,0,67,0,65,0,0.0,,0,0.0,0.5672,0.0,0.0021193293871043144,-0.20499710124181839
AB21,east,tracking,6245,20.3231,2.613,418.42,0,67,0,14,0,0.0,,0,0.0,0.5672,0.0,-0.017690440366739165,0.1988766520493254
AB21,north,detection,6245,20.3231,0.753,120.58,2,67,2,64,1,0.0156,55.5,0,0.0,0.5672,0.0426,-0.01590020675771868,0.14094414188271803
AB21,north,tracking,6245,20.3231,2.3529,376.77,0,67,0,14,0,0.0,,0,0.0,0.5672,0.0,-0.010489801772618918,0.028651752915562004
AB21,up,detection,6245,20.3231,0.9369,150.02,0,67,0,65,0,0.0,,0,0.0,0.5672,0.0,0.007046563730152406,0.2721347003396745
AB21,up,tracking,6245,20.3231,2.4885,398.47,0,67,0,14,0,0.0,,0,0.0,0.5672,0.0,-0.0008195788902060776,0.43086175494152473
AB22,east,detection,6740,20.2382,0.8353,123.93,1,16,0,16,0,0.0,,1,0.0494,0.2009,0.0395,0.02044904781464988,-0.04534763055117998
AB22,east,tracking,6740,20.2382,3.1006,460.03,0,16,0,7,0,0.0,,0,0.0,0.2009,0.0,-0.005179813103891333,0.4735972362046492
AB22,north,detection,6740,20.2382,0.8984,133.29,1,16,0,16,0,0.0,,1,0.0494,0.2009,0.0395,-0.031557289319776465,0.08250751536005352
AB22,north,tracking,6740,20.2382,2.8827,427.7,0,16,0,7,0,0.0,,0,0.0,0.2009,0.0,-0.026615860063321117,-0.0188205990027739
AB22,up,detection,6740,20.2382,0.8519,126.39,2,16,0,16,0,0.0,,2,0.0988,0.2009,0.079,-0.01320946281161943,1.1365369258544384
AB22,up,tracking,6740,20.2382,2.8804,427.36,0,16,0,7,0,0.0,,0,0.0,0.2009,0.0,0.002483430878545774,0.8216636556750194
AB25,east,detection,4856,18.0095,0.6282,129.37,5,9,1,8,1,0.125,13.99,3,0.1666,0.1595,0.2334,0.01180099337768176,-0.45786565399657886
AB25,east,tracking,4856,18.0095,2.0052,412.94,0,9,0,0,0,,,0,0.0,0.1595,0.0,-0.0064295689569589575,-0.1289415256581302
AB25,north,detection,4856,18.0095,0.6073,125.06,8,9,1,4,1,0.25,16.99,6,0.3332,0.1595,0.3734,-0.014418817076603835,0.2457961273954116
AB25,north,tracking,4856,18.0095,1.9103,393.39,0,9,0,0,0,,,0,0.0,0.1595,0.0,-0.027122526029561778,0.4702103016208424
AB25,up,detection,4856,18.0095,0.5977,123.09,3,9,0,9,0,0.0,,3,0.1666,0.1595,0.14,-0.004676604318778923,0.1411228331878293
AB25,up,tracking,4856,18.0095,1.8605,383.14,0,9,0,0,0,,,0,0.0,0.1595,0.0,-0.00014354865194221182,0.05917936074355592
AB27,east,detection,6051,17.065,0.7061,116.7,3,3,0,2,0,0.0,,3,0.1758,0.0578,0.1656,0.021037873074805452,-1.231280931758661
AB27,east,tracking,6051,17.065,2.4598,406.51,0,3,0,1,0,0.0,,0,0.0,0.0578,0.0,-0.006923615438525537,-0.7544613628264994
AB27,north,detection,6051,17.065,0.7941,131.24,0,3,0,3,0,0.0,,0,0.0,0.0578,0.0,-0.05543545316469558,0.9722316915722696
AB27,north,tracking,6051,17.065,2.2761,376.16,0,3,0,1,0,0.0,,0,0.0,0.0578,0.0,-0.024458728417809154,0.4427685588118468
AB27,up,detection,6051,17.065,0.7747,128.04,1,3,0,3,0,0.0,,1,0.0586,0.0578,0.0552,-0.023037985013968146,0.5044038571052457
AB27,up,tracking,6051,17.065,2.4161,399.28,0,3,0,1,0,0.0,,0,0.0,0.0578,0.0,0.0006075222194051178,0.09919762389640302
AB28,east,detection,7320,20.1177,0.8933,122.04,13,13,1,11,1,0.0909,40.99,11,0.5468,0.1903,0.5233,-0.0014652908542226925,-0.36971521194700585
AB28,east,tracking,7320,20.1177,3.0092,411.09,0,13,0,6,0,0.0,,0,0.0,0.1903,0.0,-0.007165991396822279,-0.25307847200772265
AB28,north,detection,7320,20.1177,0.8433,115.21,6,13,2,13,2,0.1538,20.5,4,0.1988,0.1903,0.2415,-0.03562115549666827,0.529617982969628
AB28,north,tracking,7320,20.1177,2.8291,386.48,0,13,0,6,0,0.0,,0,0.0,0.1903,0.0,-0.026977645664584493,0.35331714654758767
AB28,up,detection,7320,20.1177,1.0187,139.17,2,13,0,13,0,0.0,,2,0.0994,0.1903,0.0805,0.028030263086318553,0.21755412622541825
AB28,up,tracking,7320,20.1177,3.0778,420.47,0,13,0,6,0,0.0,,0,0.0,0.1903,0.0,0.0019438795045579613,0.7384204315149783
AB33,east,detection,7206,19.9261,0.8487,117.77,2,5,0,4,0,0.0,,1,0.0502,0.0824,0.0921,-0.009689430148899909,0.3195285808875328
