sta,kind,index,component,n,span,order,a1,a2,b1,b2,c,v,stderr_a1,stderr_a2,stderr_b1,stderr_b2,stderr_c,stderr_v,rss,bic,converged,midas_v,midas_sigma,midas_span,midas_steps,diff,diff_over_sigma,within_sigma,error
AC57,seg,0,up,1721,4.7119,54,-0.004204864569818169,-0.0011039270709358453,0.01080788045718659,0.000612775493092771,0.3490156771600637,0.009658136076435836,0.000213524104945478,0.00021379540499550474,0.00021494727550158986,0.0002127705888958348,0.00030249348384675377,0.00011127601539125214,0.0668388104291168,-17433.999497925703,True,,,,,,,,
AC57,seg,1,east,596,1.6318,30,-0.0021670107903128204,1.6992398605667258e-05,0.0008739614759481534,-0.00045072349076627765,-0.45495212383092687,-0.02327484814021784,7.949914594448364e-05,7.327526822094955e-05,7.404613019888821e-05,7.577144129190364e-05,0.0006311142942110443,0.00011368641234714616,0.0009287597083004754,-7931.311656875536,True,,,,,,,,
AC57,seg,1,north,596,1.6318,30,0.0029697781786538497,0.00036808001818470067,0.002402184516556284,-1.814886181713651e-06,0.3948671158588999,0.007509425963507748,8.477282621087379e-05,7.813607938363955e-05,7.895807750339293e-05,8.0797839373917e-05,0.0006729800898705571,0.00012122794983448618,0.0010560677117263703,-7854.750966549789,True,,,,,,,,
AC57,seg,1,up,596,1.6318,30,-0.004558150522317342,-0.0006526483442548109,0.011590470493350522,0.0008822672294232948,0.4108501829316073,-0.0017976152354216395,0.0003300401117736699,0.0003042017297994121,0.0003074019575545456,0.0003145645736961178,0.002620066287867173,0.0004719682934003041,0.016007071740136554,-6234.53789726396,True,,,,,,,,
AC57,seg,2,east,1183,3.2361,42,-0.0025149932049106333,-0.000293130524796884,0.0010469069176096365,-0.00028271239611143506,-0.44334061318855833,-0.02535695259185708,5.073384859020325e-05,5.163419090786284e-05,5.339147615177748e-05,5.157743256048609e-05,0.0003162552357310147,3.9428252847936005e-05,0.0018413375636673268,-15777.889202924367,True,,,,,,,,
AC57,seg,2,north,1183,3.2361,42,0.0029515354272789244,3.8566965062998234e-05,0.0017807241698455933,0.0008776709439446838,0.3811604230400556,0.009646562281616141,6.723687332678748e-05,6.843008464517568e-05,7.075899066408428e-05,6.835486358628e-05,0.0004191287240110077,5.225372243384543e-05,0.0032340953135312402,-15111.556185233692,True,,,,,,,,
AC57,seg,2,up,1183,3.2361,42,-0.004599666773517011,-0.0014546866192441403,0.01072887404112285,0.0013353515319102286,0.3215520929928573,0.012328738310533792,0.0002311936654260088,0.00023529651680318704,0.00024330444894374447,0.00023503786955409806,0.0014411721008868732,0.00017967417317159767,0.03823751470407767,-12189.465905709283,True,,,,,,,,
AC57,seg,3,east,731,1.9986,32,-0.0022348268560803794,-0.0002493005091662311,0.00052268166933622,-0.0002208470542552018,-0.45097271775003656,-0.024500641014119227,6.556440031681026e-05,6.515349070315236e-05,6.819793312759505e-05,6.426463083289133e-05,0.0009218370327865886,8.696531677591062e-05,0.0010842412309985852,-9771.395283099206,True,,,,,,,,
AC57,seg,3,north,731,1.9986,32,0.004193906623326631,0.00019686469861543427,0.001910326317624311,0.0009182082014152185,0.3943967878151923,0.008164599514397927,7.43085144435549e-05,7.384280313049551e-05,7.7293273092489e-05,7.283539886555246e-05,0.0010447794860385994,9.856360260301507e-05,0.0013927298697869936,-9588.363599441702,True,,,,,,,,
AC57,seg,3,up,731,1.9986,32,-0.005174869427447291,-0.0010076917603046723,0.009313062134160149,0.0007739705933342501,0.3020404624937275,0.01421771609091715,0.00034533592167632684,0.0003431716091916166,0.00035920706937359384,0.00033848987274539774,0.004855431298303293,0.00045805723346153694,0.030079682192950298,-7342.304565769623,True,,,,,,,,
AC57,seg,4,east,478,1.3059,27,-0.0024363518707247174,-0.000542412721947908,0.0002682798573939196,-0.0004776726977835122,-0.43226102546944634,-0.026122661562299483,8.23516507139368e-05,8.260171191500591e-05,8.810122635194525e-05,8.346005871015504e-05,0.002112545275538631,0.00015729622846909108,0.0007268354271668461,-6366.471674503025,True,,,,,,,,
AC57,seg,4,north,478,1.3059,27,0.004437521767757461,-4.270079009084476e-05,0.0011222193492239705,0.00020831304991225248,0.3846887922505824,0.007892376797243493,8.53587751404514e-05,8.561796748994729e-05,9.131830029608648e-05,8.650765738012531e-05,0.002189686248975307,0.0001630400032049626,0.0007808863271564511,-6332.184967738618,True,,,,,,,,
AC57,seg,4,up,478,1.3059,27,-0.008047265678081646,-0.0010809142278507728,0.011369730328041729,-8.683728076628164e-05,0.31841000757841775,0.012529556162652018,0.0003574458308186155,0.00035853121687945037,0.00038240175851363367,0.0003622568554144731,0.009169464055795228,0.0006827413971952573,0.013693420394301284,-4963.077701943069,True,,,,,,,,
AC57,seg,5,east,372,1.0157,25,-0.0023145807264715675,-0.0002079649664860632,0.0008796067283607155,-2.7271777041899246e-06,-0.46104491544192006,-0.02403460166928207,0.00011232206422378361,0.0001069378383690571,0.00014149873156598178,9.365694308635991e-05,0.005900797237297044,0.00040445507210411225,0.0005480871747377962,-4959.6914991766125,True,,,,,,,,
AC57,seg,5,north,372,1.0157,25,0.003733029967344343,0.0007377600727926955,0.0013295443818729532,0.0004591700433719649,0.41113409238456605,0.006093468197076937,0.0001291261730190555,0.00012293643207994732,0.0001626678588969256,0.00010766862878615433,0.006783594748539568,0.0004649641722653778,0.0007243493035322881,-4855.963247140108,True,,,,,,,,
AC57,seg,5,up,372,1.0157,25,-0.007261669430097399,0.0005678194719560176,0.010217673821284709,0.0004499708669199012,0.3760670565506581,0.008448992136421153,0.000493445194500331,0.00046979160166013936,0.0006216220259273118,0.00041144693001261286,0.02592295699502034,0.0017768228629010522,0.010577848315871186,-3858.5406381856574,True,,,,,,,,
AC57,seg,6,east,544,1.4866,28,-0.0031573475310399963,-0.00028205167482705086,8.114003926739143e-05,0.0008350546403835077,-0.43076077098351506,-0.0260275711249644,9.5474124921669e-05,9.672264544931545e-05,9.580629200465931e-05,9.310862226427378e-05,0.0024567587353286867,0.00015501455008799184,0.001210154928693931,-7042.886441514397,True,,,,,,,,
AC57,seg,6,north,544,1.4866,28,0.0024048506610331406,-0.0002658908711522097,0.0009591357241359097,0.0009650098444975443,0.38157405654336174,0.008105759131179884,9.597817938424588e-05,9.723329146058781e-05,9.631210013924566e-05,9.360018808480574e-05,0.002469729162709227,0.00015583294748938522,0.0012229666553097754,-7037.157468709391,True,,,,,,,,
AC57,seg,6,up,544,1.4866,28,-0.007314653652433917,-0.0019623031750792964,0.012185495751822395,0.0034899938483723544,0.35970388316615576,0.009623801415239759,0.0003727527290721864,0.00037762723757765515,0.000374049585019221,0.00036351726792609054,0.00959174565901528,0.0006052121099680459,0.018446384822512926,-5560.965153325821,True,,,,,,,,
