station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
72640014839,2024,TMP,366,13393,11,363,8,366,0,49976,851192,213520,8120595,917959,0.259,
72641014837,2024,TMP,366,14094,16,376,22,366,0,49976,851192,224928,8415042,925953,0.166,
72643014920,2024,TMP,366,10896,80,384,10,366,0,49976,851192,150728,6505981,872321,0.149,
72643514991,2024,TMP,366,11705,23,383,0,366,0,49976,851192,162320,7030870,876296,0.165,
72644014925,2024,TMP,366,14414,24,377,5,365,1,49840,848880,230136,8261845,925324,0.212,
72645014898,2024,TMP,366,13941,4,395,32,366,0,49976,851192,222672,8078344,924978,0.242,
72646314897,2024,TMP,366,11656,7,381,0,366,0,49976,851192,159808,6730916,873730,0.229,
72651014944,2024,TMP,366,13776,5,406,16,366,0,49976,851192,220224,8180228,923260,0.237,
72651494032,2024,TMP,366,10996,10,381,0,366,0,49976,851192,139840,6183095,852954,0.217,
72654014936,2024,TMP,366,13591,5,379,2,366,0,49976,851192,217072,7556097,920563,0.161,
72654594950,2024,TMP,366,10986,4,363,4,364,2,49704,846568,141064,6146596,851559,0.147,
72654614946,2024,TMP,366,12202,5,379,5,366,0,49976,851192,168928,7171499,880360,0.198,
72655014926,2024,TMP,366,11087,15,369,8,363,3,49568,844256,150336,6478310,863034,0.205,
72655594938,2024,TMP,366,12495,5,379,3,366,0,49976,851192,181296,7241570,895200,0.27,
72655614992,2024,TMP,366,11612,3,404,1,363,3,49568,844256,156328,6791417,863819,0.27,
72655714910,2024,TMP,366,12629,2,401,5,364,2,49704,846568,177264,7308676,882156,0.234,
72657494985,2024,TMP,366,12024,5,580,2,357,3,48752,830384,167872,7048002,860702,0.286,
72658014922,2024,TMP,366,13732,8,375,55,365,1,49840,848880,218888,8448489,919923,0.177,
72658414927,2024,TMP,366,10829,0,365,3,364,2,49704,846568,142712,6264869,856844,0.191,
72659014929,2024,TMP,366,14069,16,378,21,366,0,49976,851192,224912,7939104,925712,0.24,
72662024090,2024,TMP,366,13217,34,420,11,365,1,49840,848880,210224,7279277,912046,0.263,
72662524006,2024,TMP,366,13252,108,172,12,360,5,49160,837320,193680,6534171,884704,0.214,
72665094023,2024,TMP,366,10379,42,390,0,365,1,49840,848880,129192,5992010,844018,0.205,
72666024029,2024,TMP,366,12830,43,370,12,364,2,49704,846568,203368,6867687,906897,0.257,
72671024164,2024,TMP,366,10235,42,388,1,366,0,49976,851192,129968,5889398,849911,0.22,
72677024033,2024,TMP,366,12840,12,378,6,366,0,49976,851192,204520,7819704,910845,0.241,
72677624036,2024,TMP,366,11035,39,378,3,366,0,49976,851192,137200,6404240,846851,0.223,
72679724132,2024,TMP,366,10791,49,656,2,366,0,49976,851192,144240,6561455,860663,0.234,
72681024131,2024,TMP,366,13045,1,384,18,366,0,49976,851192,207952,7212387,914104,0.297,
72681524106,2024,TMP,366,11216,146,363,7,355,9,48480,825760,167056,5935409,869312,0.226,
72683094185,2024,TMP,366,13851,14,483,22,364,1,49704,846568,221192,7753330,918231,0.29,
72688024155,2024,TMP,366,13475,17,393,29,365,1,49840,848880,214416,7671493,914197,0.241,
72688524152,2024,TMP,366,13612,48,442,2,358,4,48888,832696,200840,7483625,888786,0.271,
72688624130,2024,TMP,366,10896,34,418,0,362,4,49432,841944,147088,6190034,858329,0.217,
72691724284,2024,TMP,366,12878,5,1013,4,357,9,48752,830384,195088,7570654,892557,0.248,
72693024221,2024,TMP,366,13599,4,450,15,366,0,49976,851192,217200,8162521,920720,0.245,
72694024232,2024,TMP,366,13379,41,904,7,343,20,46848,798016,212424,7861668,868906,0.23,
72698024229,2024,TMP,366,13253,2,373,16,365,1,49840,848880,211144,8047552,915439,0.262,
72698694261,2024,TMP,366,11415,2,389,6,366,0,49976,851192,158832,6677594,876166,0.254,
