isd_station,normals_id,path
72446313988,USW00013988,/home/fallen/data/showcase/normals/USW00013988.csv
72446713930,USW00013930,/home/fallen/data/showcase/normals/USW00013930.csv
72450003928,USW00003928,/home/fallen/data/showcase/normals/USW00003928.csv
72450503923,USW00003923,/home/fallen/data/showcase/normals/USW00003923.csv
72451013985,USW00013985,/home/fallen/data/showcase/normals/USW00013985.csv
72451523064,USW00023064,/home/fallen/data/showcase/normals/USW00023064.csv
72452003957,USW00003957,/home/fallen/data/showcase/normals/USW00003957.csv
72456013996,USW00013996,/home/fallen/data/showcase/normals/USW00013996.csv
72456513920,USW00013920,/home/fallen/data/showcase/normals/USW00013920.csv
72458013984,USW00013984,/home/fallen/data/showcase/normals/USW00013984.csv
72458593997,USW00093997,/home/fallen/data/showcase/normals/USW00093997.csv
72458603919,USW00003919,/home/fallen/data/showcase/normals/USW00003919.csv
72462023061,USW00023061,/home/fallen/data/showcase/normals/USW00023061.csv
72463523067,USW00023067,/home/fallen/data/showcase/normals/USW00023067.csv
72464093058,USW00093058,/home/fallen/data/showcase/normals/USW00093058.csv
72464523070,USW00023070,/home/fallen/data/showcase/normals/USW00023070.csv
72465023065,USW00023065,/home/fallen/data/showcase/normals/USW00023065.csv
72466093037,USW00093037,/home/fallen/data/showcase/normals/USW00093037.csv
72466593010,USW00093010,/home/fallen/data/showcase/normals/USW00093010.csv
72466693067,USW00093067,/home/fallen/data/showcase/normals/USW00093067.csv
72469523036,USW00023036,/home/fallen/data/showcase/normals/USW00023036.csv
72469824015,USW00024015,/home/fallen/data/showcase/normals/USW00024015.csv
72470093141,USW00093141,/home/fallen/data/showcase/normals/USW00093141.csv
72475593129,USW00093129,/home/fallen/data/showcase/normals/USW00093129.csv
72476023066,USW00023066,/home/fallen/data/showcase/normals/USW00023066.csv
72476593013,USW00093013,/home/fallen/data/showcase/normals/USW00093013.csv
72480023157,USW00023157,/home/fallen/data/showcase/normals/USW00023157.csv
72483023232,USW00023232,/home/fallen/data/showcase/normals/USW00023232.csv
72483993225,USW00093225,/home/fallen/data/showcase/normals/USW00093225.csv
72485523153,USW00023153,/home/fallen/data/showcase/normals/USW00023153.csv
72486023154,USW00023154,/home/fallen/data/showcase/normals/USW00023154.csv
72488023185,USW00023185,/home/fallen/data/showcase/normals/USW00023185.csv
72492023237,USW00023237,/home/fallen/data/showcase/normals/USW00023237.csv
72493023230,USW00023230,/home/fallen/data/showcase/normals/USW00023230.csv
72494023234,USW00023234,/home/fallen/data/showcase/normals/USW00023234.csv
72502014734,USW00014734,/home/fallen/data/showcase/normals/USW00014734.csv
72502594741,USW00094741,/home/fallen/data/showcase/normals/USW00094741.csv
72503014732,USW00014732,/home/fallen/data/showcase/normals/USW00014732.csv
