station,year,field,n,order,score,coverage,gram_cond,design_cond,day_score,n_days_checked,gate,worst_param,amp_image,amp_raw
72221013858,2024,TMP,15293,24,3.939011133068258e-13,2.2255094485259953e-13,56.71012826928821,910.7229238018145,4.589345011236379e-13,4,ok,b2,7.40044878745795,7.400448787457966
72222313899,2024,TMP,11936,24,3.980039122713784e-13,2.2255094485259953e-13,53.099714049603804,938.6757614948688,2.9591189757570527e-13,8,ok,b2,7.229263992312019,7.229263992312033
72222503855,2024,TMP,8967,24,4.178622042926389e-13,2.2255094485259953e-13,53.42343044298657,941.4011418623766,5.7153119299531715e-15,1,ok,b2,8.591591110785926,8.591591110785922
72223013894,2024,TMP,14094,24,2.6132015241386315e-13,2.2255094485259953e-13,50.08622578161901,921.3277521072906,3.1028765474734326e-13,8,ok,b2,8.099462540537347,8.099462540537363
72225013829,2024,TMP,15152,24,7.56776586693501e-14,2.2255094485259953e-13,72.267982985445,925.6644237446275,3.442662159326581e-13,4,ok,b1,8.36817114665498,8.368171146654984
72225593842,2024,TMP,11155,24,2.220071390725946e-13,2.2255094485259953e-13,51.59094920452973,924.0809974794926,2.1276365888653365e-13,8,ok,b2,8.58891419782894,8.588914197828956
72226013895,2024,TMP,14011,24,2.0207576266301942e-13,2.2255094485259953e-13,50.384305680217615,931.0553404956571,1.5164328618693297e-13,8,ok,b2,8.733617204295497,8.733617204295529
72226903850,2024,TMP,16917,24,2.9688268669958046e-13,2.2255094485259953e-13,50.96914548122186,874.7464229077725,1.0720211196931244e-13,6,ok,b2,7.666411583144519,7.666411583144535
72228013876,2024,TMP,10813,24,4.5453540380778587e-13,2.2255094485259953e-13,50.17732923173546,913.340473995383,4.975316027340008e-13,8,ok,b2,9.010319961119466,9.010319961119494
72228693806,2024,TMP,11278,24,3.0922949513833804e-13,2.2255094485259953e-13,50.65044533640489,923.9680221826641,3.3287044634799505e-13,8,ok,b2,8.68845448488662,8.688454484886648
72228713871,2024,TMP,10874,24,3.593966147495839e-13,2.2255094485259953e-13,95.62674818400143,911.3815498489087,4.819287152661791e-13,7,ok,b2,8.76705166252368,8.767051662523679
72231012916,2024,TMP,13946,24,1.6914551087125025e-13,2.2255094485259953e-13,50.68379179154958,903.5571105138895,9.009085809642144e-14,8,ok,b2,7.215021397468021,7.215021397468029
72231553917,2024,TMP,11874,24,1.1526026560824778e-13,2.2255094485259953e-13,50.85473888686658,909.3743931579768,8.791244112968522e-14,7,ok,b2,7.340808155324915,7.34080815532491
72234013865,2024,TMP,14257,24,1.5814197026826812e-13,2.2255094485259953e-13,50.04037524064021,910.8048482457393,2.1943989753475132e-13,8,ok,b2,8.653416978464533,8.653416978464536
72235003940,2024,TMP,14127,24,1.2071201321597924e-13,2.2255094485259953e-13,50.77747118887697,924.3879196677975,1.0274762762580513e-13,8,ok,b2,8.344979574065338,8.344979574065349
72235893919,2024,TMP,12413,24,1.6174688589476677e-13,2.2255094485259953e-13,54.23239863557473,918.3903470800998,1.3833013385012275e-13,8,ok,b2,7.352779892029176,7.352779892029185
