sta,component,n,span,order,score,coverage,gram_cond,design_cond,gram_rebuild_err,gate,worst_param,v_image,v_raw
0ATT,up,2637,7.3265,75,4.045369335573391e-12,2.1362886457187658e-11,518.9371090289472,8.870750133569622,0.0,ok,b2,0.0031955791041173073,0.0031955791041172405
0ATV,east,4106,11.3292,107,2.1402818140407415e-14,1.1369374654362725e-11,219.7630192129253,13.24765274119154,0.0,ok,b2,0.01816741077605297,0.018167410776052967
0ATV,north,4106,11.3292,107,2.963893896801312e-14,1.1369374654362725e-11,219.7630192129253,13.24765274119154,0.0,ok,a2,0.014066079347874516,0.014066079347874513
0ATV,up,4106,11.3292,107,1.3735131566484964e-13,1.1369374654362725e-11,219.7630192129253,13.24765274119154,0.0,ok,b2,0.004434148807176387,0.004434148807176376
0AVI,east,1206,3.4004,44,7.311999804475234e-13,1.8963826247279263e-11,91.2646087697496,4.742250476779654,0.0,ok,b2,0.017413205550227136,0.017413205550226882
0AVI,north,1206,3.4004,44,1.673389122251522e-12,1.8963826247279263e-11,91.2646087697496,4.742250476779654,0.0,ok,b2,0.01367751195693648,0.013677511956936879
0AVI,up,1206,3.4004,44,5.10028618009081e-13,1.8963826247279263e-11,91.2646087697496,4.742250476779654,0.0,ok,b2,0.009937495326014664,0.009937495326014567
0AZ1,east,2767,7.6906,78,5.461535628282308e-14,1.701695476481458e-11,165.05455906861542,9.167278601049965,0.0,ok,a2,0.01750787461402573,0.01750787461402621
0AZ1,north,2767,7.6906,78,2.79178486282084e-13,1.701695476481458e-11,165.05455906861542,9.167278601049965,0.0,ok,a2,0.014645727703969226,0.014645727703968837
0AZ1,up,2767,7.6906,78,2.1172634414363677e-12,1.701695476481458e-11,165.05455906861542,9.167278601049965,0.0,ok,a2,0.0033584218318858305,0.0033584218318857086
0BAS,east,7291,20.167,178,4.511456486810714e-14,3.3734081863030064e-11,379.61595238820524,23.360816282092856,0.0,ok,a2,0.016969160181317503,0.01696916018131751
0BAS,north,7291,20.167,178,3.666677713476872e-15,3.3734081863030064e-11,379.61595238820524,23.360816282092856,0.0,ok,b2,0.014202175790050958,0.014202175790050916
0BAS,up,7291,20.167,178,2.1055657502434516e-14,3.3734081863030064e-11,379.61595238820524,23.360816282092856,0.0,ok,a2,0.009995928040841366,0.009995928040841354
0BEB,east,2513,7.0007,73,5.514706132842862e-14,1.3865366866016033e-11,152.93354680519403,8.450325310704514,0.0,ok,b2,0.01780468370631022,0.017804683706310186
0BEB,north,2513,7.0007,73,4.079096293635326e-13,1.3865366866016033e-11,152.93354680519403,8.450325310704514,0.0,ok,a2,0.01439005080652861,0.014390050806528604
0BEB,up,2513,7.0007,73,1.386321661518415e-12,1.3865366866016033e-11,152.93354680519403,8.450325310704514,0.0,ok,a2,0.009487358464816215,0.009487358464816315
0BEF,east,4503,12.4299,116,1.080453975622689e-13,9.51469869382913e-12,241.5409169911436,14.491734199327889,0.0,ok,a2,0.016880708242076534,0.016880708242076572
0BEF,north,4503,12.4299,116,3.125362830555034e-14,9.51469869382913e-12,241.5409169911436,14.491734199327889,0.0,ok,a2,0.014671598455277378,0.014671598455277523
0BEF,up,4503,12.4299,116,6.619024691128481e-14,9.51469869382913e-12,241.5409169911436,14.491734199327889,0.0,ok,v,0.005348501609519502,0.005348501609520136
0BEN,east,1259,3.551,45,2.0821998050995633e-12,3.1560965953079376e-11,94.42130615562134,4.891409988874294,0.0,ok,a2,0.01693342635895574,0.01693342635895581
0BEN,north,1259,3.551,45,4.909750744617576e-12,3.1560965953079376e-11,94.42130615562134,4.891409988874294,0.0,ok,a2,0.013151689860025222,0.01315168986002522
0BEN,up,1259,3.551,45,1.2738447482074787e-12,3.1560965953079376e-11,94.42130615562134,4.891409988874294,0.0,ok,a2,0.00996201189474992,0.009962011894749821
0BER,east,2810,7.7426,78,4.061566104049705e-13,2.735696229348815e-11,164.62030331741394,9.404777088981845,0.0,ok,a2,0.017374863592731698,0.01737486359273165
0BER,north,2810,7.7426,78,1.7507376030767186e-12,2.735696229348815e-11,164.62030331741394,9.404777088981845,0.0,ok,b2,0.013967322493504653,0.01396732249350464
0BER,up,2810,7.7426,78,6.633660637488962e-13,2.735696229348815e-11,164.62030331741394,9.404777088981845,0.0,ok,a2,0.009446368767446273,0.009446368767446093
0BIE,east,8831,24.3395,211,5.473514671413342e-14,5.144230366874619e-12,450.08226704626657,28.19550004649414,0.0,ok,a2,0.01803319591244507,0.018033195912445097
0BIE,north,8831,24.3395,211,5.086295388695607e-14,5.144230366874619e-12,450.08226704626657,28.19550004649414,0.0,ok,a2,0.01389656548210803,0.01389656548210803
0BIE,up,8831,24.3395,211,3.46295434773844e-14,5.144230366874619e-12,450.08226704626657,28.19550004649414,0.0,ok,a2,0.0061758204702774275,0.006175820470277445
0BIP,east,4153,11.5647,109,2.6893224807764145e-14,6.279281569773878e-12,232.74128385174592,13.509658595810462,0.0,ok,v,0.016642059849690947,0.016642059849691394
0BIP,north,4153,11.5647,109,2.0761747955889125e-13,6.279281569773878e-12,232.74128385174592,13.509658595810462,0.0,ok,a2,0.014527211807813644,0.014527211807813856
0BIP,up,4153,11.5647,109,4.361196691567365e-13,6.279281569773878e-12,232.74128385174592,13.509658595810462,0.0,ok,v,0.00983668350566185,0.00983668350566614
0BIS,east,5656,15.6852,142,2.674221419374491e-13,1.2649455946555633e-11,301.62638338195774,18.3145416760637,0.0,ok,v,0.017462561489843334,0.017462561489848004
0BIS,north,5656,15.6852,142,1.7859241516622905e-13,1.2649455946555633e-11,301.62638338195774,18.3145416760637,0.0,ok,v,0.014890504091104238,0.014890504091101578
0BIS,up,5656,15.6852,142,8.165864597141322e-13,1.2649455946555633e-11,301.62638338195774,18.3145416760637,0.0,ok,v,0.0027593941484841357,0.002759394148480566
0BJA,east,3449,9.6536,94,1.9505849657816953e-13,4.797000021334527e-12,1539.2290441247833,11.784881919300133,0.0,ok,v,0.018907262050222973,0.01890726205022666
0BJA,north,3449,9.6536,94,1.7866262032748004e-13,4.797000021334527e-12,1539.2290441247833,11.784881919300133,0.0,ok,v,0.014904071879966481,0.014904071879969144
0BJA,up,3449,9.6536,94,8.285607553922084e-13,4.797000021334527e-12,1539.2290441247833,11.784881919300133,0.0,ok,v,0.0018959556504755653,0.0018959556504776587
0BJO,east,8832,24.3395,211,2.8457456486924043e-14,5.144230366874619e-12,450.02037833391404,28.212619538272875,0.0,ok,a2,0.01734048736956932,0.017340487369569148
0BJO,north,8832,24.3395,211,4.8412772396351946e-14,5.144230366874619e-12,450.02037833391404,28.212619538272875,0.0,ok,v,0.0141177837108608,0.014117783710861484
0BJO,up,8832,24.3395,211,5.153343037497366e-14,5.144230366874619e-12,450.02037833391404,28.212619538272875,0.0,ok,v,0.005975022713322037,0.005975022713322345
0BJU,east,7269,20.1287,178,8.077384971777186e-15,3.373408097070672e-11,388.72672087524194,23.353857173017676,0.0,ok,b2,0.017475510338844917,0.017475510338844955
0BJU,north,7269,20.1287,178,2.374675966779658e-14,3.373408097070672e-11,388.72672087524194,23.353857173017676,0.0,ok,b2,0.013884478415644013,0.01388447841564372
0BJU,up,7269,20.1287,178,4.1252871969891036e-14,3.373408097070672e-11,388.72672087524194,23.353857173017676,0.0,ok,b2,0.010231539545126045,0.010231539545125826
0BKI,east,4617,12.7365,118,4.922203447066428e-14,4.170641296649181e-12,256.7682013093838,14.895300839442273,0.0,ok,b2,0.018073820368307326,0.018073820368307365
0BKI,north,4617,12.7365,118,7.138696659125306e-14,4.170641296649181e-12,256.7682013093838,14.895300839442273,0.0,ok,b2,0.01438773847228788,0.014387738472287892
0BKI,up,4617,12.7365,118,2.849402813497822e-14,4.170641296649181e-12,256.7682013093838,14.895300839442273,0.0,ok,b2,0.004527115234386911,0.004527115234386894
0BLA,east,7879,21.8946,192,9.025621000151739e-14,2.4528311031304178e-11,889.2126788345216,25.366204080470798,0.0,ok,a2,0.018623624515690367,0.018623624515690287
0BLA,north,7879,21.8946,192,2.0685595762033036e-14,2.4528311031304178e-11,889.2126788345216,25.366204080470798,0.0,ok,b1,0.013952974457051962,0.013952974457051842
0BLA,up,7879,21.8946,192,3.35745023632805e-14,2.4528311031304178e-11,889.2126788345216,25.366204080470798,0.0,ok,a2,0.003384428809557023,0.0033844288095569615
0BLG,east,641,1.9083,32,2.2135582251109448e-13,2.745651544424577e-12,113.51574896437315,4.219505051457682,0.0,ok,b2,0.018655205110541695,0.018655205110541966
