station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
01355099999,2024,TMP,366,8197,4,168,0,0,0,200,5000,65576,2648456,19191,0.062,
01357099999,2024,TMP,366,7379,0,2,0,0,0,200,5000,59032,2689819,18123,0.061,
01358099999,2024,TMP,366,575,1,0,0,0,0,200,5000,4600,179602,5688,0.008,
01359099999,2024,TMP,366,2797,1,0,0,0,0,200,5000,22376,1292905,8673,0.016,
01360099999,2024,TMP,366,1602,0,1,0,0,0,200,5000,12816,649838,6963,0.011,
01361099999,2024,TMP,366,8370,3,1,0,0,0,200,5000,66960,3300769,19501,0.044,
01362099999,2024,TMP,366,630,0,0,0,0,0,200,5000,5040,215368,5919,0.004,
01364099999,2024,TMP,366,8327,5,1,0,0,0,200,5000,66616,3311929,19439,0.067,
01365099999,2024,TMP,366,1589,0,0,0,0,0,200,5000,12712,530538,7325,0.007,
01366099999,2024,TMP,366,7302,0,3,0,0,0,200,5000,58416,2698594,17988,0.064,
01367099999,2024,TMP,366,3107,2,0,0,0,0,200,5000,24856,1214205,9595,0.03,
01368099999,2024,TMP,366,110,0,0,0,0,0,200,5000,880,38169,4886,0.002,
01370099999,2024,TMP,366,7087,8,122,0,0,0,200,5000,56696,2681466,17609,0.042,
01371099999,2024,TMP,366,7424,4,0,0,0,0,200,5000,59392,1931553,18206,0.031,
01373099999,2024,TMP,366,8371,4,1,0,0,0,200,5000,66968,3528701,19504,0.06,
01374099999,2024,TMP,366,702,0,0,0,0,0,200,5000,5616,224534,5960,0.004,
01375099999,2024,TMP,366,8373,0,1,0,0,0,200,5000,66984,3062247,19511,0.044,
01375599999,2024,TMP,366,15788,0,7,0,0,0,200,5000,126304,5974755,33353,0.068,
01376099999,2024,TMP,366,7362,4,8,0,0,0,200,5000,58896,2436422,18115,0.03,
01378099999,2024,TMP,366,8364,2,1,0,0,0,200,5000,66912,3334697,19510,0.039,
01380099999,2024,TMP,366,8380,0,0,0,0,0,200,5000,67040,2758649,19519,0.043,
01381099999,2024,TMP,366,2325,1,0,0,0,0,200,5000,18600,602852,9120,0.012,
01382099999,2024,TMP,366,7428,0,1,0,0,0,200,5000,59424,1827699,18211,0.028,
01383099999,2024,TMP,366,7377,3,0,0,0,0,200,5000,59016,2651610,18127,0.051,
01384099999,2024,TMP,366,24405,2,218,0,0,0,200,5000,195240,8413988,54337,0.151,
01385099999,2024,TMP,366,8377,0,0,0,0,0,200,5000,67016,3179890,19515,0.04,
01386099999,2024,TMP,366,7361,1,0,0,0,0,200,5000,58888,2127212,18093,0.03,
01387099999,2024,TMP,366,2860,0,0,0,0,0,200,5000,22880,721368,10224,0.013,
01389099999,2024,TMP,366,8153,4,1,0,0,0,200,5000,65224,3232508,19139,0.046,
01392099999,2024,TMP,366,8365,2,0,0,0,0,200,5000,66920,3265552,19506,0.049,
01393099999,2024,TMP,366,8378,5,4,0,0,0,200,5000,67024,3106700,19530,0.053,
